CDate,Vteam,Hteam
Sat Dec 23 2017,Orlando Magic,Washington Wizards
Mon Dec 25 2017,Washington Wizards,Boston Celtics
Mon Dec 25 2017,Cleveland Cavaliers,Golden State Warriors
Mon Dec 25 2017,Minnesota Timberwolves,Los Angeles Lakers
Mon Dec 25 2017,Philadelphia 76ers,New York Knicks
Mon Dec 25 2017,Houston Rockets,Oklahoma City Thunder
Tue Dec 26 2017,Toronto Raptors,Dallas Mavericks
Tue Dec 26 2017,Utah Jazz,Denver Nuggets
Tue Dec 26 2017,Indiana Pacers,Detroit Pistons
Tue Dec 26 2017,Sacramento Kings,Los Angeles Clippers
Tue Dec 26 2017,Orlando Magic,Miami Heat
Tue Dec 26 2017,Chicago Bulls,Milwaukee Bucks
Tue Dec 26 2017,Memphis Grizzlies,Phoenix Suns
Tue Dec 26 2017,Brooklyn Nets,San Antonio Spurs
Wed Dec 27 2017,Washington Wizards,Atlanta Hawks
Wed Dec 27 2017,New York Knicks,Chicago Bulls
Wed Dec 27 2017,Boston Celtics,Charlotte Hornets
Wed Dec 27 2017,Utah Jazz,Golden State Warriors
Wed Dec 27 2017,Dallas Mavericks,Indiana Pacers
Wed Dec 27 2017,Memphis Grizzlies,Los Angeles Lakers
Wed Dec 27 2017,Denver Nuggets,Minnesota Timberwolves
Wed Dec 27 2017,Brooklyn Nets,New Orleans Pelicans
Wed Dec 27 2017,Toronto Raptors,Oklahoma City Thunder
Wed Dec 27 2017,Cleveland Cavaliers,Sacramento Kings
Thu Dec 28 2017,Houston Rockets,Boston Celtics
Thu Dec 28 2017,Minnesota Timberwolves,Milwaukee Bucks
Thu Dec 28 2017,Detroit Pistons,Orlando Magic
Thu Dec 28 2017,Philadelphia 76ers,Portland Trail Blazers
Thu Dec 28 2017,New York Knicks,San Antonio Spurs
Fri Dec 29 2017,Indiana Pacers,Chicago Bulls
Fri Dec 29 2017,Charlotte Hornets,Golden State Warriors
