date,win,lose,probability
Mon Dec 18 2017,Dallas Mavericks,Phoenix Suns,0.8153690648732419
Mon Dec 18 2017,Houston Rockets,Utah Jazz,0.57151053000551799
Mon Dec 18 2017,Boston Celtics,Indiana Pacers,0.51109430525589394
Mon Dec 18 2017,Golden State Warriors,Los Angeles Lakers,0.95931989689180386
Mon Dec 18 2017,Portland Trail Blazers,Minnesota Timberwolves,0.75689702837023742
Mon Dec 18 2017,Oklahoma City Thunder,Denver Nuggets,0.85928868332242059
Mon Dec 18 2017,San Antonio Spurs,Los Angeles Clippers,0.75983706382354033
Tue Dec 19 2017,Cleveland Cavaliers,Milwaukee Bucks,0.86635772062872651
Tue Dec 19 2017,Sacramento Kings,Philadelphia 76ers,0.80316688692801463
Tue Dec 19 2017,Washington Wizards,New Orleans Pelicans,0.71491580944215338
Wed Dec 20 2017,Atlanta Hawks,Indiana Pacers,0.57294027633796463
Wed Dec 20 2017,Boston Celtics,Miami Heat,0.57365521538035558
Wed Dec 20 2017,Sacramento Kings,Brooklyn Nets,0.69385180994842277
Wed Dec 20 2017,Chicago Bulls,Orlando Magic,0.66469972664921984
Wed Dec 20 2017,Toronto Raptors,Charlotte Hornets,0.5401623655812311
Wed Dec 20 2017,Dallas Mavericks,Detroit Pistons,0.53493428762264228
Wed Dec 20 2017,Minnesota Timberwolves,Denver Nuggets,0.51467332291094792
Wed Dec 20 2017,Golden State Warriors,Memphis Grizzlies,0.92090748508497933
Wed Dec 20 2017,Houston Rockets,Los Angeles Lakers,0.87285057021191803
Wed Dec 20 2017,Los Angeles Clippers,Phoenix Suns,0.89362600862840369
Wed Dec 20 2017,Oklahoma City Thunder,Utah Jazz,0.80000585936347524
Wed Dec 20 2017,San Antonio Spurs,Portland Trail Blazers,0.70684401913814709
Thu Dec 21 2017,Cleveland Cavaliers,Chicago Bulls,0.86684292998566748
Thu Dec 21 2017,Boston Celtics,New York Knicks,0.70544035752977408
Thu Dec 21 2017,Toronto Raptors,Philadelphia 76ers,0.93817452805407398
Thu Dec 21 2017,Memphis Grizzlies,Phoenix Suns,0.65021800678333019
Thu Dec 21 2017,San Antonio Spurs,Utah Jazz,0.78147180009212991
Fri Dec 22 2017,Washington Wizards,Brooklyn Nets,0.79108734026715111
Fri Dec 22 2017,Detroit Pistons,New York Knicks,0.7369250863222373
Fri Dec 22 2017,Golden State Warriors,Los Angeles Lakers,0.97674793205621024
Fri Dec 22 2017,Los Angeles Clippers,Houston Rockets,0.59464310406152499
Fri Dec 22 2017,Miami Heat,Dallas Mavericks,0.69790151638416176
Fri Dec 22 2017,Charlotte Hornets,Milwaukee Bucks,0.75319968857924013
Fri Dec 22 2017,Oklahoma City Thunder,Atlanta Hawks,0.6937581952378008
Fri Dec 22 2017,Orlando Magic,New Orleans Pelicans,0.62663643610347752
Fri Dec 22 2017,Portland Trail Blazers,Denver Nuggets,0.76580134170650882
Sat Dec 23 2017,Atlanta Hawks,Dallas Mavericks,0.67518264822053509
Sat Dec 23 2017,Boston Celtics,Chicago Bulls,0.71935880831791654
Sat Dec 23 2017,Charlotte Hornets,Milwaukee Bucks,0.78217030638635132
Sat Dec 23 2017,Golden State Warriors,Denver Nuggets,0.92570510515697846
Sat Dec 23 2017,Indiana Pacers,Brooklyn Nets,0.8566598717802586
Sat Dec 23 2017,Portland Trail Blazers,Los Angeles Lakers,0.85982651051745063
Sat Dec 23 2017,Los Angeles Clippers,Memphis Grizzlies,0.69412485156074522
Sat Dec 23 2017,Miami Heat,New Orleans Pelicans,0.81417310052348335
Sat Dec 23 2017,Minnesota Timberwolves,Phoenix Suns,0.62100561932786813
Sat Dec 23 2017,San Antonio Spurs,Sacramento Kings,0.878626406155951
Sat Dec 23 2017,Toronto Raptors,Philadelphia 76ers,0.95774318809007419
Sat Dec 23 2017,Oklahoma City Thunder,Utah Jazz,0.71058883100156733
Sat Dec 23 2017,Washington Wizards,Orlando Magic,0.64251138902031579
Mon Dec 25 2017,Boston Celtics,Washington Wizards,0.66223216492143833
Mon Dec 25 2017,Golden State Warriors,Cleveland Cavaliers,0.69504651146057472
Mon Dec 25 2017,Minnesota Timberwolves,Los Angeles Lakers,0.68519567350297883
Mon Dec 25 2017,New York Knicks,Philadelphia 76ers,0.8267159347196863
